"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",528.706,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",541.211,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",533.923,"B"
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",533.345,"E"
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1980",514.441,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1981",565.323,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1982",615.779,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1983",645.192,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1984",659.115,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1985",688.851,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1986",702.256,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1987",746.742,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1988",779.382,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1989",877.888,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1990",953.579,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1991",1049.849,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1992",1169.732,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1993",1235.83,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1994",1256.876,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1995",1282.755,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1996",1234.237,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",1299.941,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",1316.133,"B"
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",1366.859,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",1479.33,
