entity,year,percent_gdp,gdp,education_spend
Denmark,1989,5.83814001083374,43992.48,2568.342576638031
Denmark,1991,5.596759796142581,45072.55,2522.602357496263
Denmark,1993,7.77281999588013,45658.04,3548.917262846948
Denmark,1994,7.4710597991943395,47933.68,3581.1538967544575
Denmark,1995,7.47103023529053,49130.03,3670.5193959073076
Denmark,1996,7.8849401473999,50271.77,3963.8989755385383
Denmark,1998,8.10673999786377,52655.35,4268.63231946516
Denmark,1999,7.93115997314453,54030.68,4285.259665377807
Denmark,2000,8.08432960510254,55873.66,4517.010836834336
Denmark,2001,8.21545028686523,56139.94,4612.148861775969
Denmark,2002,8.2130298614502,56203.76,4616.031592057803
Denmark,2003,8.12193965911865,56219.59,4566.121176403903
Denmark,2004,8.207630157470701,57514.35,4720.565135473251
Denmark,2005,8.08557033538818,58653.02,4742.431185929297
Denmark,2006,7.7299098968505895,60743.19,4695.393855472757
Denmark,2007,7.615600109100339,61099.79,4653.115673900078
Denmark,2008,7.476049900054929,60602.93,4530.7052876953585
Denmark,2009,8.44888019561768,57464.03,4855.067050273802
Denmark,2010,8.55955028533936,58379.29,4997.004683774093
Denmark,2011,8.484860420227049,59006.56,5006.6242547775255
Denmark,2012,7.23782014846802,58995.48,4269.986738125422
Denmark,2013,8.49442958831787,59406.8,5046.268796672821
Denmark,2014,7.634850025176999,60231.97,4598.620576709603
Estonia,1995,6.073050022125241,7268.15,441.3983851830957
Estonia,1996,6.10584020614624,7755.25,473.5231725871563
Estonia,1997,6.448190212249759,8759.07,564.8014944241049
Estonia,1998,6.29860019683838,9200.29,579.4894840497019
Estonia,1999,6.687359809875491,9195.11,614.9100906138424
Estonia,2000,5.3402099609375,10241.17,546.899980456543
Estonia,2001,5.2364802360534695,10970.98,574.4931994013789
Estonia,2002,5.468679904937741,11724.43,641.1715473784919
Estonia,2003,5.29463005065918,12685.18,671.6333522602082
Estonia,2004,4.91180992126465,13575.51,666.8032470422747
Estonia,2005,4.8448600769042995,14944.51,724.0405986789707
Estonia,2007,4.663959980010991,17966.72,837.9606305206308
Estonia,2008,5.51750993728638,17053.28,940.9164186332706
Estonia,2009,5.954150199890139,14587.43,868.5574925038342
Estonia,2010,5.52699995040894,14969.55,827.3670210764415
Estonia,2011,5.01738023757935,16176.12,811.6174480871209
Estonia,2012,4.71293020248413,16982.42,800.3696012927053
Estonia,2013,4.838379859924321,17434.7,843.5570134382256
Estonia,2014,5.47941017150879,18041.27,988.5551834493639
Finland,1980,4.8221697807312,25660.58,1237.3967343203542
Finland,1981,4.82993984222412,25882.2,1250.0946898441312
Finland,1982,4.77615976333618,26532.2,1267.220260727882
Finland,1983,4.851749897003169,27197.71,1319.5648669122206
Finland,1984,4.69558000564575,27922.36,1311.1167532644267
