entity,code,year,life_expectancy,spend,gdp
Estonia,EST,1964,69.852997,,
Estonia,EST,1965,70.052002,,
Estonia,EST,1966,70.209,,
Estonia,EST,1967,70.321999,,
Estonia,EST,1968,70.39299799999998,,
Estonia,EST,1969,70.427002,,
Estonia,EST,1970,70.422997,,
Estonia,EST,1971,70.375999,,
Estonia,EST,1972,70.287003,,
Estonia,EST,1973,70.160004,,
Estonia,EST,1974,70.008003,,
Estonia,EST,1975,69.841003,,
Estonia,EST,1976,69.67199699999999,,
Estonia,EST,1977,69.514,,
Estonia,EST,1978,69.378998,,
Estonia,EST,1979,69.278999,,
Estonia,EST,1980,69.237,,8718.98
Estonia,EST,1981,69.273003,,8777.82
Estonia,EST,1982,69.383003,,9212.0
Estonia,EST,1983,69.552002,,9485.8
Estonia,EST,1984,69.755997,,9678.21
Estonia,EST,1985,69.945999,,9650.11
Estonia,EST,1986,70.060997,,9681.93
Estonia,EST,1987,70.065002,,9943.36
Estonia,EST,1988,69.945,,10182.24
Estonia,EST,1989,69.710999,,10482.93
Estonia,EST,1990,69.402,,9752.51
Estonia,EST,1991,69.072998,,9028.56
Estonia,EST,1992,68.793999,,7260.88
Estonia,EST,1993,68.616997,,7015.19
Estonia,EST,1994,68.569,,6987.39
Estonia,EST,1995,68.660004,,7268.15
Estonia,EST,1996,68.883003,,7755.25
Estonia,EST,1997,69.197998,,8759.07
Estonia,EST,1998,69.569,,9200.29
Estonia,EST,1999,69.978996,477.311,9195.11
Estonia,EST,2000,70.408997,486.484,10241.17
Estonia,EST,2001,70.845001,493.701,10970.98
Estonia,EST,2002,71.285004,548.558,11724.43
Estonia,EST,2003,71.727997,638.226,12685.18
Estonia,EST,2004,72.16999799999998,734.6189999999998,13575.51
Estonia,EST,2005,72.622002,818.5260000000002,14944.51
Estonia,EST,2006,73.103996,947.293,16588.69
Estonia,EST,2007,73.626999,1104.249,17966.72
Estonia,EST,2008,74.189003,1303.683,17053.28
Estonia,EST,2009,74.778,1341.203,14587.43
Estonia,EST,2010,75.366997,1368.245,14969.55
Estonia,EST,2011,75.91999799999998,1429.047,16176.12
Estonia,EST,2012,76.410004,1516.451,16982.42
Estonia,EST,2013,76.819,1652.405,17434.7
Estonia,EST,2014,77.140999,1771.668,18041.27
Estonia,EST,2015,77.383003,1859.566,18445.5
Finland,FIN,1960,68.720001,,
Finland,FIN,1961,68.875999,,
Finland,FIN,1962,69.010002,,
Finland,FIN,1963,69.130997,,
Finland,FIN,1964,69.246002,,
Finland,FIN,1965,69.366997,,
Finland,FIN,1966,69.5,,
Finland,FIN,1967,69.649002,,
Finland,FIN,1968,69.819,,
Finland,FIN,1969,70.014999,,
Finland,FIN,1970,70.240997,,
Finland,FIN,1971,70.501999,,
Finland,FIN,1972,70.792999,,
Finland,FIN,1973,71.110001,,
Finland,FIN,1974,71.446999,,
Finland,FIN,1975,71.80100300000002,,
Finland,FIN,1976,72.170998,,
Finland,FIN,1977,72.547997,,
Finland,FIN,1978,72.92400400000002,,
Finland,FIN,1979,73.287003,,
Finland,FIN,1980,73.622002,546.245,25660.58
Finland,FIN,1981,73.91100300000002,615.054,25882.2
Finland,FIN,1982,74.15100100000002,679.9839999999998,26532.2
Finland,FIN,1983,74.341003,734.91,27197.71
Finland,FIN,1984,74.487,786.834,27922.36
Finland,FIN,1985,74.599998,889.702,28791.96
Finland,FIN,1986,74.697998,943.286,29483.02
Finland,FIN,1987,74.79900400000002,1019.615,30443.55
Finland,FIN,1988,74.91999799999998,1076.141,31933.12
Finland,FIN,1989,75.07,1177.562,33450.88
Finland,FIN,1990,75.253998,1316.247,33514.91
Finland,FIN,1991,75.469002,1459.701,31360.66
Finland,FIN,1992,75.70500200000002,1469.746,30154.13
Finland,FIN,1993,75.954002,1366.951,29791.95
Finland,FIN,1994,76.209999,1344.072,30836.47
Finland,FIN,1995,76.472,1438.203,32016.65
Finland,FIN,1996,76.735001,1499.188,33086.61
Finland,FIN,1997,76.999001,1552.596,35058.61
Finland,FIN,1998,77.262001,1606.152,36871.45
Finland,FIN,1999,77.523003,1683.693,38427.1
Finland,FIN,2000,77.778999,1828.671,40509.96
Finland,FIN,2001,78.028,1941.466,41461.47
Finland,FIN,2002,78.272003,2102.233,42057.5
Finland,FIN,2003,78.511002,2220.904,42794.13
Finland,FIN,2004,78.746002,2425.275,44345.52
Finland,FIN,2005,78.977997,2558.813,45423.26
Finland,FIN,2006,79.209,2750.952,47085.83
Finland,FIN,2007,79.441002,2950.171,49319.1
Finland,FIN,2008,79.675003,3231.159,49444.5
Finland,FIN,2009,79.907997,3355.563,45138.98
Finland,FIN,2010,80.138,3438.8520000000008,46277.34
Finland,FIN,2011,80.361,3640.716,47246.36
Finland,FIN,2012,80.57399699999998,3774.076,46351.04
Finland,FIN,2013,80.77600100000002,3919.589,45788.21
Finland,FIN,2014,80.967003,3931.38,45298.73
Finland,FIN,2015,81.148003,4098.952,45173.02
France,FRA,1960,70.047997,,
France,FRA,1961,70.311996,,
France,FRA,1962,70.538002,,
France,FRA,1963,70.730003,,
France,FRA,1964,70.89299799999998,,
France,FRA,1965,71.03600300000002,,
France,FRA,1966,71.16999799999998,,
France,FRA,1967,71.305,,
France,FRA,1968,71.449997,,
France,FRA,1969,71.611,,
France,FRA,1970,71.792,,
France,FRA,1971,71.994003,,
France,FRA,1972,72.209999,,
France,FRA,1973,72.434998,,
France,FRA,1974,72.666,,
France,FRA,1975,72.900002,,
France,FRA,1976,73.134003,,
France,FRA,1977,73.365997,,
France,FRA,1978,73.596001,,
France,FRA,1979,73.822998,,
France,FRA,1980,74.04900400000002,654.946,27005.87
France,FRA,1981,74.278999,,27153.43
France,FRA,1982,74.514,,27683.93
France,FRA,1983,74.758003,,27913.66
France,FRA,1984,75.010002,,28177.83
France,FRA,1985,75.268997,1012.407,28509.65
France,FRA,1986,75.533997,,29057.42
France,FRA,1987,75.80100300000002,,29666.96
France,FRA,1988,76.066002,,30925.65
France,FRA,1989,76.32800300000002,,31954.24
France,FRA,1990,76.584,1413.005,32687.71
France,FRA,1991,76.831001,1508.8570000000002,32830.48
France,FRA,1992,77.07,1602.687,33158.04
France,FRA,1993,77.302002,1702.335,32780.13
France,FRA,1994,77.527,1769.72,33391.36
France,FRA,1995,77.747002,2054.577,33930.96
France,FRA,1996,77.961998,2112.956,34246.27
France,FRA,1997,78.175003,2174.813,34889.5
France,FRA,1998,78.389999,2259.567,35964.63
France,FRA,1999,78.609001,2353.714,37012.05
France,FRA,2000,78.834999,2506.7870000000007,38245.41
France,FRA,2001,79.072998,2678.217,38771.01
France,FRA,2002,79.32399699999998,2866.193,38978.33
France,FRA,2003,79.585999,2844.885,39078.13
France,FRA,2004,79.856003,2960.294000000001,39932.12
France,FRA,2005,80.129997,3124.1890000000008,40328.77
France,FRA,2006,80.403,3369.47,41028.17
France,FRA,2007,80.667999,3516.141,41736.6
France,FRA,2008,80.92199699999998,3686.357,41578.88
France,FRA,2009,81.162003,3916.62,40131.14
France,FRA,2010,81.387001,4036.642,40692.57
France,FRA,2011,81.598,4206.912,41312.66
France,FRA,2012,81.800003,4276.187,41177.13
France,FRA,2013,81.996002,4533.808,41212.89
France,FRA,2014,82.184998,4666.074000000001,41410.4
France,FRA,2015,82.369003,4656.575,41667.09
Germany,DEU,1960,69.497002,,
Germany,DEU,1961,69.70099599999999,,
Germany,DEU,1962,69.889999,,
Germany,DEU,1963,70.063004,,
Germany,DEU,1964,70.222,,
Germany,DEU,1965,70.363998,,
Germany,DEU,1966,70.487999,,
Germany,DEU,1967,70.594002,,
Germany,DEU,1968,70.689003,,
Germany,DEU,1969,70.778,,
Germany,DEU,1970,70.871002,,
Germany,DEU,1971,70.978996,,
Germany,DEU,1972,71.108002,,
Germany,DEU,1973,71.263,,
Germany,DEU,1974,71.445999,,
Germany,DEU,1975,71.658997,,
Germany,DEU,1976,71.897003,,
Germany,DEU,1977,72.15100100000002,,
Germany,DEU,1978,72.416,,
Germany,DEU,1979,72.685997,,
Germany,DEU,1980,72.959,960.924,26061.29
Germany,DEU,1981,73.235001,1092.86,26164.48
Germany,DEU,1982,73.514999,1133.774,26083.32
Germany,DEU,1983,73.795998,1199.882,26565.9
Germany,DEU,1984,74.074997,1300.873,27409.25
Germany,DEU,1985,74.347,1400.871,28108.88
Germany,DEU,1986,74.605003,1442.5970000000002,28741.26
Germany,DEU,1987,74.846001,1516.0770000000002,29142.45
Germany,DEU,1988,75.071999,1654.096,30101.88
Germany,DEU,1989,75.285004,1643.004,31030.51
Germany,DEU,1990,75.488998,1757.736,32358.55
Germany,DEU,1991,75.693001,,33754.73
Germany,DEU,1992,75.903999,1959.294,34142.22
Germany,DEU,1993,76.127998,1968.747,33592.98
Germany,DEU,1994,76.36799599999998,2108.495,34299.31
Germany,DEU,1995,76.623001,2250.24,34792.94
Germany,DEU,1996,76.890999,2371.488,34976.01
Germany,DEU,1997,77.166,2395.987,35570.49
Germany,DEU,1998,77.442001,2475.79,36269.08
Germany,DEU,1999,77.714996,2596.237,36966.76
Germany,DEU,2000,77.983002,2707.165,38011.3
Germany,DEU,2001,78.246002,2839.9240000000004,38591.44
Germany,DEU,2002,78.502998,2997.905,38526.97
Germany,DEU,2003,78.752998,3135.7290000000007,38232.07
Germany,DEU,2004,78.994003,3208.025,38687.51
Germany,DEU,2005,79.223,3314.399000000001,38983.51
Germany,DEU,2006,79.433998,3514.8140000000008,40471.64
Germany,DEU,2007,79.626999,3690.131,41846.88
Germany,DEU,2008,79.803001,3926.185,42388.19
Germany,DEU,2009,79.962997,4197.599,40117.75
Germany,DEU,2010,80.112999,4396.635,41853.36
Germany,DEU,2011,80.254997,4574.5459999999985,43477.11
Germany,DEU,2012,80.396004,4690.68,43780.21
Germany,DEU,2013,80.541,4937.141,44080.53
Germany,DEU,2014,80.691002,5160.105,45014.68
Germany,DEU,2015,80.848,5296.9940000000015,45879.97
Ireland,IRL,1960,69.760002,,
Ireland,IRL,1961,69.941002,,
Ireland,IRL,1962,70.095001,,
Ireland,IRL,1963,70.23200200000001,,
Ireland,IRL,1964,70.359001,,
Ireland,IRL,1965,70.478996,,
Ireland,IRL,1966,70.592003,,
Ireland,IRL,1967,70.696999,,
Ireland,IRL,1968,70.792999,,
Ireland,IRL,1969,70.885002,,
Ireland,IRL,1970,70.976997,,
Ireland,IRL,1971,71.072998,,
Ireland,IRL,1972,71.175003,,
Ireland,IRL,1973,71.288002,,
Ireland,IRL,1974,71.414001,,
Ireland,IRL,1975,71.558998,,
Ireland,IRL,1976,71.724998,,
Ireland,IRL,1977,71.912003,,
Ireland,IRL,1978,72.116997,,
Ireland,IRL,1979,72.336998,,
Ireland,IRL,1980,72.567001,494.079,17167.09
Ireland,IRL,1981,72.802002,521.8480000000002,17519.52
Ireland,IRL,1982,73.03600300000002,550.156,17731.1
Ireland,IRL,1983,73.264999,568.4730000000002,17566.64
Ireland,IRL,1984,73.487,596.635,18201.69
Ireland,IRL,1985,73.704002,635.297,18705.02
Ireland,IRL,1986,73.918999,636.259,18622.27
Ireland,IRL,1987,74.137001,652.934,19493.95
Ireland,IRL,1988,74.361,679.6080000000002,20570.88
Ireland,IRL,1989,74.586998,704.015,21868.47
Ireland,IRL,1990,74.806999,770.7760000000002,23753.77
Ireland,IRL,1991,75.011002,872.078,24057.35
Ireland,IRL,1992,75.192001,954.951,24673.05
Ireland,IRL,1993,75.351997,1006.877,25191.62
Ireland,IRL,1994,75.496002,1065.915,26514.21
Ireland,IRL,1995,75.639999,1155.056,28921.12
Ireland,IRL,1996,75.800003,1213.167,30988.53
Ireland,IRL,1997,75.994003,1321.955,33759.0
Ireland,IRL,1998,76.23200200000002,1411.446,36168.92
Ireland,IRL,1999,76.516998,1509.1329999999996,39512.77
Ireland,IRL,2000,76.848,1781.802,42753.97
Ireland,IRL,2001,77.219002,2084.467,44645.34
Ireland,IRL,2002,77.614998,2350.236,46732.96
Ireland,IRL,2003,78.01799799999998,2539.588,47359.43
Ireland,IRL,2004,78.417,2794.898,49424.62
Ireland,IRL,2005,78.80100300000002,3092.603,51045.44
Ireland,IRL,2006,79.162003,3321.6940000000004,52490.99
Ireland,IRL,2007,79.498001,3647.792,53838.71
Ireland,IRL,2008,79.806999,4030.716,50600.92
Ireland,IRL,2009,80.087997,4364.012,47603.38
Ireland,IRL,2010,80.339996,4551.557,48011.1
Ireland,IRL,2011,80.564003,4835.352,48935.46
Ireland,IRL,2012,80.766998,4995.544,48424.39
Ireland,IRL,2013,80.956001,4951.093,48661.98
Ireland,IRL,2014,81.134003,4939.523,52095.35
Ireland,IRL,2015,81.306999,5106.253,64613.46
Israel,ISR,1960,70.538002,,
Israel,ISR,1961,70.720001,,
Israel,ISR,1962,70.893997,,
Israel,ISR,1963,71.060997,,
Israel,ISR,1964,71.22399899999998,,
Israel,ISR,1965,71.384003,,
Israel,ISR,1966,71.540001,,
Israel,ISR,1967,71.694,,
Israel,ISR,1968,71.847,,
Israel,ISR,1969,72.000999,,
Israel,ISR,1970,72.157997,,
Israel,ISR,1971,72.32,,
Israel,ISR,1972,72.486,,
Israel,ISR,1973,72.657997,,
Israel,ISR,1974,72.836998,,
Israel,ISR,1975,73.023003,,
Israel,ISR,1976,73.216003,,
Israel,ISR,1977,73.414001,,
Israel,ISR,1978,73.619003,,
Israel,ISR,1979,73.829002,,
Israel,ISR,1980,74.04699699999998,577.797,18990.93
Israel,ISR,1981,74.274002,633.427,19520.05
Israel,ISR,1982,74.511002,679.9889999999998,19441.41
Israel,ISR,1983,74.755997,765.0310000000002,19636.79
Israel,ISR,1984,75.009003,955.354,19720.87
Israel,ISR,1985,75.268997,750.638,20113.46
Israel,ISR,1986,75.532997,731.685,20244.81
Israel,ISR,1987,75.79900400000002,803.429,21193.64
Israel,ISR,1988,76.065002,874.2719999999998,21520.05
Israel,ISR,1989,76.327003,963.989,21385.93
Israel,ISR,1990,76.584,977.954,22301.6
Israel,ISR,1991,76.832001,977.535,22809.65
Israel,ISR,1992,77.072998,1084.394,23457.36
Israel,ISR,1993,77.306,1155.292,23423.06
Israel,ISR,1994,77.533997,1323.5279999999998,24088.05
Israel,ISR,1995,77.758003,1365.9070000000004,25561.08
Israel,ISR,1996,77.981003,1456.918,26127.31
Israel,ISR,1997,78.206001,1532.44,26384.5
Israel,ISR,1998,78.434998,1562.573,26777.78
Israel,ISR,1999,78.670998,1533.342,27037.31
Israel,ISR,2000,78.916,1696.086,28504.91
Israel,ISR,2001,79.172997,1802.422,27885.97
Israel,ISR,2002,79.440002,1802.991,27410.79
Israel,ISR,2003,79.71399699999998,1688.566,27098.56
Israel,ISR,2004,79.991997,1773.0179999999998,27797.38
Israel,ISR,2005,80.268997,1768.9520000000002,28409.68
Israel,ISR,2006,80.538002,1780.6229999999996,29346.31
Israel,ISR,2007,80.793999,1902.59,30483.54
Israel,ISR,2008,81.033997,1918.017,30835.76
Israel,ISR,2009,81.25700400000002,1949.842,30698.27
Israel,ISR,2010,81.461998,2032.725,31705.74
Israel,ISR,2011,81.652,2139.95,32568.43
Israel,ISR,2012,81.83000200000002,2264.569,32590.91
Israel,ISR,2013,82.001999,2426.578,33322.5
Israel,ISR,2014,82.168999,2457.971,33876.08
Israel,ISR,2015,82.334999,2646.915,34349.4
Japan,JPN,1960,67.887001,,
Japan,JPN,1961,68.42400400000001,,
Japan,JPN,1962,68.934998,,
Japan,JPN,1963,69.42600300000001,,
Japan,JPN,1964,69.898003,,
Japan,JPN,1965,70.350998,,
Japan,JPN,1966,70.78600300000002,,
Japan,JPN,1967,71.199997,,
Japan,JPN,1968,71.596001,,
Japan,JPN,1969,71.980003,,
Japan,JPN,1970,72.358002,,
Japan,JPN,1971,72.739998,,
Japan,JPN,1972,73.130997,,
Japan,JPN,1973,73.532997,,
Japan,JPN,1974,73.945,,
Japan,JPN,1975,74.361,,
Japan,JPN,1976,74.774002,,
Japan,JPN,1977,75.17400400000002,,
Japan,JPN,1978,75.554001,,
Japan,JPN,1979,75.913002,,
Japan,JPN,1980,76.251999,545.373,25848.44
Japan,JPN,1981,76.57800300000002,623.564,26743.98
Japan,JPN,1982,76.897003,696.671,27441.66
Japan,JPN,1983,77.212997,752.9069999999998,28214.33
Japan,JPN,1984,77.525002,785.0039999999998,29296.68
Japan,JPN,1985,77.827003,864.523,30646.16
Japan,JPN,1986,78.111,895.845,31473.37
Japan,JPN,1987,78.372002,953.318,32800.44
Japan,JPN,1988,78.605003,1005.689,34876.94
Japan,JPN,1989,78.814003,1052.817,36424.37
Japan,JPN,1990,79.003998,1118.227,38073.55
Japan,JPN,1991,79.18,1197.62,39239.68
Japan,JPN,1992,79.355003,1285.073,39440.05
Japan,JPN,1993,79.53600300000002,1373.182,39122.72
Japan,JPN,1994,79.726997,1471.101,39413.79
Japan,JPN,1995,79.934998,1468.677,40403.93
Japan,JPN,1996,80.162003,1499.442,41560.4
Japan,JPN,1997,80.403999,1607.188,41904.91
Japan,JPN,1998,80.655998,1656.22,41329.64
Japan,JPN,1999,80.914001,1765.976,41135.49
Japan,JPN,2000,81.170998,1917.971,42191.28
Japan,JPN,2001,81.422997,2021.205,42251.74
Japan,JPN,2002,81.663002,2104.673,42214.32
